"no","identifier","study","treat.events","treat.total","control.events","control.total"
1,"N15-06","Gerdesmeyer2008",76,125,57,118
1,"N15-06","Gollwitzer2007",11,20,6,20
1,"N15-06","Gollitzer2015",63,125,44,121
1,"N15-06","Malay2006",59,112,16,56
1,"N15-06","Ogden2001",71,119,56,116
2,"N15-11","Chaidas2013",40,43,47,48
2,"N15-11","Hultcratz1999",16,20,15,19
3,"S15-02","Brown2011",6,60,29,48
3,"S15-02","Myers2002",1,21,25,96
4,"D15-02","FAME",9,509,15,496
4,"D15-02","FAMOUS_NSTEMI",5,176,3,174
5,"A16-71","Kein_OAD",6,370,4,417
5,"A16-71","Metamorfin_alleine",15,1588,29,1554
5,"A16-71","Jegliche_SU",242,3327,135,3259
5,"A16-71","Jegliche_TZD",8,510,3,460
5,"A16-71","Jegliches_Insulin",19,1234,26,1247
5,"A16-71","Andere",15,182,9,194
6,"A16-38","CA209_067",59,212,34,215
6,"A16-38","CA209_069",13,71,5,37
7,"P14-03","Malmoe",88,9285,90,9322
7,"P14-03","Oestergotland",53,12011,54,11495
7,"P14-03","Stockholm",25,15946,24,8421
8,"N14-02","Knekt2004_1",10,23,29,50
8,"N14-02","Knekt2004_2",10,23,13,47
9,"A16-30","S311",6,333,3,330
9,"A16-30","S292",5,306,4,153
10,"N15-07","Bachmann2014",88,136,84,133
10,"N15-07","Capitan2011",17,50,30,50
10,"N15-07","Horasanli2008",19,39,21,37
10,"N15-07","Xue2013",23,75,46,76
11,"A16-11","REVEL",269,627,262,618
11,"A16-11","JVCG",30,94,31,98
12,"A10-03","ATAC",1078,3092,1158,3094
12,"A10-03","BIG_1_98",561,2248,599,2447
13,"A15-57","TONADO_1",124,223,126,248
13,"A15-57","TONADO_2",130,233,119,236
14,"A15-45","ALCIFORM",82,173,100,187
14,"A15-45","AUGMENT",82,188,80,194
15,"A15-31","Tonado1",4,229,3,264
15,"A15-31","Tonado2",3,243,4,252
16,"A15-25","IM103008",116,202,121,184
16,"A15-25","IM103027",123,156,133,168
17,"A15-21","PEARLII",91,92,85,88
17,"A15-21","MALACHITEII",27,40,81,82
18,"S13-04","Chichester",532,3205,508,3228
18,"S13-04","MASS",3750,33839,3855,33961
18,"S13-04","Viborg",939,6333,1019,6306
18,"S13-04","Wester_Australia",3124,20500,3168,20500
19,"A15-06","ALCIFORM",9,182,22,195
19,"A15-06","AUGMENT",35,211,31,198
19,"A15-06","LAC_MD_32",44,220,25,115
20,"A15-05","VISTA",47,151,12,154
20,"A15-05","VIVID",45,135,12,132
21,"A14-38","D9902B",82,338,40,168
21,"A14-38","D9901",22,82,8,45
21,"A14-38","D9902A",13,65,9,31
22,"A14-25","Studie301",268,284,281,303
22,"A14-25","StudieEmbrace",135,138,74,80
23,"A14-22","DB2113360",60,108,58,102
23,"A14-22","DB2113374",63,99,52,93
24,"A14-19","S178_CL_044",24,166,13,85
24,"A14-19","S178_CL_048",84,369,73,368
24,"A14-19","S178_CL_090",104,337,103,333
25,"A14-18","PILLAR",62,77,50,77
25,"A14-18","QUEST_1",210,264,64,130
25,"A14-18","QUEST_2",207,257,67,134
26,"S13-03","Antila",76,29037,53,29039
26,"S13-03","ARISTIC",233,18386,80,6124
26,"S13-03","NTCC_1",75,22708,58,22466
26,"S13-03","NTCC_2",97,24661,33,24535
26,"S13-03","POBASCAM",171,19999,150,20106
